,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
No-RAG,0.79,0.8518411413148256,0.7947359307359307,0.8052115016738404,0.79,0.79,0.79
G1,0.82,0.8579692821798085,0.8242597402597402,0.8307619047619049,0.82,0.82,0.82
G2,0.9,0.9237593984962406,0.9081558441558443,0.9134905975297652,0.9,0.9,0.9
G1+G2,0.84,0.874811463046757,0.8513593073593073,0.8548147944829478,0.84,0.84,0.84
G3,0.88,0.8813353313353314,0.8765974025974026,0.8734345297205277,0.88,0.88,0.88
G1+G2+G3,0.86,0.8663305322128851,0.865012987012987,0.8628043479465262,0.86,0.86,0.86
