,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
No-RAG,0.92,0.9317272727272726,0.9133939393939393,0.920083916083916,0.92,0.92,0.92
G1,0.87,0.8645887445887446,0.8625454545454545,0.8618875927889713,0.87,0.87,0.87
G2,0.91,0.9240823798627001,0.8882424242424243,0.8978907469342252,0.91,0.91,0.91
G1+G2,0.9,0.9002173913043479,0.8889090909090909,0.8926406926406927,0.9,0.9,0.9
G3,0.89,0.8920026350461132,0.8892121212121212,0.887984824410507,0.89,0.89,0.89
G1+G2+G3,0.91,0.9095078110295501,0.8987272727272728,0.9014855875831487,0.91,0.91,0.91
