,accuracy,precision_macro,recall_macro,f1_macro,precision_micro,recall_micro,f1_micro
No-RAG,0.8,0.8701831501831501,0.8028225108225108,0.8093650651673908,0.8,0.8,0.8
G1,0.83,0.8579761904761904,0.8371255411255412,0.8382431838852537,0.83,0.83,0.83
G2,0.87,0.8763296679833458,0.8800173160173159,0.872613156823683,0.87,0.87,0.87
G1+G2,0.84,0.8812529343721295,0.8508831168831168,0.856102564102564,0.84,0.84,0.84
G3,0.82,0.8433198380566802,0.8184588744588744,0.8227513302089573,0.82,0.82,0.82
G1+G2+G3,0.87,0.8718427977251506,0.874969696969697,0.8705196123800775,0.87,0.87,0.87
